nID;nID_Subject;nID_SubjectContactType;sValue
152;99;1;dmitrij.zabrudskij@privatbank.ua
153;100;0;
154;100;1;careerbud@gmail.com
155;101;0;
156;101;1;ap_uszn@ukr.net
157;102;0;
158;102;1;Dmitriy1995hawrylko@gmail.com
159;103;0;
160;103;1;1215@dmsu.gov.ua
161;104;0;
162;104;1;1216@dmsu.gov.ua
163;105;0;
164;105;1;dpi428@ukr.net
165;106;0;
166;106;1;dpi428@ukr.net
167;107;0;
168;107;1;lisa@ukrpost.ua
169;108;0;
170;108;1;lisa@ukrpost.ua
171;109;0;
172;109;1;dpi0403@ukr.net
173;110;0;
174;110;1;dpi0403@ukr.net
175;111;0;
176;111;1;dpi0403@ukr.net
177;112;0;
178;112;1;krin-mdpi@yandex.ru
179;113;0;
180;113;1;krin-mdpi@yandex.ru
181;114;0;
182;114;1;dpi483@ukr.net
183;115;0;
184;115;1;dpi483@ukr.net
185;116;0;
186;116;1;tetiana.romashenko@ukr.net
187;117;0;
188;117;1;tetiana.dikhtiar@ukr.net
189;118;0;
190;118;1;lisa@ukrpost.ua
191;119;0;
192;119;1;lisa@ukrpost.ua
193;120;0;
194;120;1;dpi483@ukr.net
195;121;0;
196;121;1;dpi483@ukr.net
197;122;0;
198;122;1;zvit0408@ukr.net
199;123;0;
200;123;1;zvit0408@ukr.net
201;124;0;
202;124;1;marg06dpi@ukr.net
203;125;0;
204;125;1;marg06dpi@ukr.net
205;126;0;
206;126;1;425_@ukr.net
207;127;0;
208;127;1;425_@ukr.net
209;128;0;
210;128;1;mollitatiana@mail.ru
211;129;0;
212;129;1;nikodpi@ukrpost.ua
213;130;0;
214;130;1;zvit0408@ukr.net
215;131;0;
216;131;1;zvit0408@ukr.net
217;132;0;
218;132;1;oodpi409@ukr.net
219;133;0;
220;133;1;oodpi409@ukr.net
221;134;0;
222;134;1;odpy@ukrpost.ua
223;135;0;
224;135;1;odpy@ukrpost.ua
225;136;0;
226;136;1;petrovaoksana75@mail.tu
227;137;0;
228;137;1;petrovaoksana75@mail.tu
229;138;0;
230;138;1;dpi0403@ukr.net
231;139;0;
232;139;1;petrovaoksana75@mail.tu
233;140;0;
234;140;1;petrovaoksana75@mail.tu
235;141;0;
236;141;1;lisa@ukrpost.ua
237;142;0;
238;142;1;lisa@ukrpost.ua
239;143;0;
240;143;1;dmdpi@dnp.ukrpack.net
241;144;0;
242;144;1;dmdpi@dnp.ukrpack.net
243;145;0;
244;145;1;tetiana.dikhtiar@ukr.net
245;146;0;
246;146;1;tetiana.dikhtiar@ukr.net
247;147;0;
248;147;1;dmdpi@dnp.ukrpack.net
249;148;0;
250;148;1;dmdpi@dnp.ukrpack.net
251;149;0;
252;149;1;odpy.ternovka@ukrpost.ua
253;150;0;
254;150;1;odpy.ternovka@ukrpost.ua
255;151;0;
256;151;1;galian75@mail,ru
257;152;0;
258;152;1;ksu32@ukr.net
259;153;0;
260;153;1;odpy.urivka@ukr.net
261;154;0;
262;154;1;odpy.urivka@ukr.net
263;155;0;
264;155;1;425_@ukr.net
265;156;0;
266;156;1;petrovaoksana75@mail.tu
267;157;0;
268;157;1;dpi416@ukr.net
269;158;0;
270;158;1;dpi416@ukr.net
271;159;0;
272;159;1;dpi401@ukr.net
273;160;0;
274;160;1;dpi401@ukr.net
275;161;0;
276;161;1;zv_odpi04@ukr.net
277;162;0;
278;162;1;zv_odpi04@ukr.net
279;163;0;
280;163;1;dpi428@ukr.net
281;164;0;
282;164;1;lisa@ukrpost.ua
283;165;0;
284;165;1;dpi0403@ukr.net
285;166;0;
286;166;1;and-gni@ukr.net
287;167;0;
288;167;1;r23232323@ukr.net
289;168;0;
290;168;1;L.Stanislav@ukr.net
291;169;0;
292;169;1;mdpi64@dnp.ukrpack.net
293;170;0;
294;170;1;lgni@dnp.ukrpack.net
295;171;0;
296;171;1;elenadpi@gmail.com
297;172;0;
298;172;1;krgvnedoimka@i.ua
299;173;0;
300;173;1;230403@ukr.net
301;174;0;
302;174;1;krin-mdpi@yandex.ru
303;175;0;
304;175;1;dpi483@ukr.net
305;176;0;
306;176;1;nedoimka0481@ukr.net
307;177;0;
308;177;1;lisa@ukrpost.ua
309;178;0;
310;178;1;dpi483@ukr.net
311;179;0;
312;179;1;zvit0408@ukr.net
313;180;0;
314;180;1;natali_tigr@ukr.net
315;181;0;
316;181;1;425_@ukr.net
317;182;0;
318;182;1;nikodpi@ukrpost.ua
319;183;0;
320;183;1;zvit0408@ukr.net
321;184;0;
322;184;1;oodpi409@ukr.net
323;185;0;
324;185;1;odpy@ukrpost.ua
325;186;0;
326;186;1;petrovaoksana75@mail.tu
327;187;0;
328;187;1;dpi0403@ukr.net
329;188;0;
330;188;1;425_@ukr.net
331;189;0;
332;189;1;petrovaoksana75@mail.tu
333;190;0;
334;190;1;lisa@ukrpost.ua
335;191;0;
336;191;1;оgni412@ukr.net
337;192;0;
338;192;1;tetiana.dikhtiar@ukr.net
339;193;0;
340;193;1;n26004857@meta.ua
341;194;0;
342;194;1;odpy.ternovka@ukrpost.ua
343;195;0;
344;195;1;ksu32@ukr.net
345;196;0;
346;196;1;dmdpi@dnp.ukrpack.net
347;197;0;
348;197;1;odpy.urivka@ukr.net
349;198;0;
350;198;1;411_@ukr.net
351;199;0;
352;199;1;dpi416@ukr.net
353;200;0;
354;200;1;dpi401@ukr.net
355;201;0;
356;201;1;zv_odpi04@ukr.net
357;202;0;
358;202;1;kushko70@gmail.com
359;203;0;
360;203;1;kushko70@gmail.com
361;204;0;
362;204;1;lgni@dnp.ukrpack.net
363;205;0;
364;205;1;v.dyachuk@solor.gov.ua
365;206;0;
366;206;1;dn290689sev@gmail.com
367;207;0;
368;207;1;otdelobrabotki1202@.ukr.net
369;208;0;
370;208;1;1239indust@ukr.net
371;209;0;
372;209;1;Doz_ofis@ukr.net
373;210;0;
374;210;1;картошка
375;211;0;
376;211;1;1210@dmsu.gov.ua
377;212;0;
378;212;1;1213@dmsu.gov.ua
379;213;0;
380;213;1;1217@dmsu.gov.ua
381;214;0;
382;214;1;1212@dmsu.gov.ua
383;215;0;
384;215;1;1214@dmsu.gov.ua
385;216;0;
386;216;1;1215@dmsu.gov.ua
387;217;0;
388;217;1;1262@dmsu.gov.ua
389;218;0;
390;218;1;1226@dmsu.gov.ua
391;219;0;
392;219;1;1227@dmsu.gov.ua
393;220;0;
394;220;1;1229@dmsu.gov.ua
395;221;0;
396;221;1;1235@dmsu.gov.ua
397;222;0;
398;222;1;1238@dmsu.gov.ua
399;223;0;
400;223;1;1261@dmsu.gov.ua
401;224;0;
402;224;1;ceed_2009@ukr.net
403;225;0;
404;225;1;картошка
405;226;0;
406;226;1;zinazin@ukr.net
407;227;0;
408;227;1;admin@sobes-ter.gov.ua
409;228;0;
410;228;1;inna.dascenko@privatbank.ua
411;229;0;
412;229;1;and1205@ua.fm
413;230;0;
414;230;1;spatialdevkm@gmail.com
415;231;0;
416;231;1;Kreed21@bigmir.net
417;232;0;
418;232;1;картошка
419;233;0;
420;233;1;vnap.kremenets@gmail.com
421;234;0;
422;234;1;ternopil_vrp@ukr.net
423;235;0;
424;235;1;natalioffice@i.ua
425;236;0;
426;236;1;inessik@i.ua
427;237;0;
428;237;1;upszn_ph@ukr.net
429;238;0;
430;238;1;cnap_chortkiv@ukr.net
431;239;0;
432;239;1;i0976638595@gmail.com
433;240;0;
434;240;1;1220@dmsu.gov.ua
435;241;0;
436;241;1;dz_ruszn@ukrpost.ua, soctrud7148@gmail.com
437;242;0;
438;242;1;картошка
439;243;0;
440;243;1;іnvest@drr-ck.gov.ua
441;244;0;
442;244;1;Kirovka65@dnp.ukrpack.net
443;245;0;
444;245;1;zalcnap@ukr.net
445;246;0;
446;246;1;cnap-buch@ukr.net
447;247;0;
448;247;1;1220_vdnepruszn@ukr.net
449;248;0;
450;248;1;dlg_upszn@riad.com.ua
451;249;0;
452;249;1;1216@dmsu.gov.ua
453;250;0;
454;250;1;1214_nupszn@ukr.net
455;251;0;
456;251;1;glavapu2@meta.ua
457;252;0;
458;252;1;vd-zvern@khoda.gov.ua
459;253;0;
460;253;1;miroshnik2015@ukr.net
461;254;0;
462;254;1;cnap-bal.rda@ukr.net
463;255;0;
464;255;1;картошка
465;256;0;
466;256;1;uszn 1224@ukr.net
467;257;0;
468;257;1;nikopol.admin@ukr.net
469;258;0;
470;258;1;adminpetrova@ukr.net
471;259;0;
472;259;1;ostroh_rda@ukr.net
473;260;0;
474;260;1;upszn1231@gmail.com
475;261;0;
476;261;1;картошка
477;262;0;
478;262;1;lan.cnap@ukr.net
479;263;0;
480;263;1;1202@dmsu.gov.ua
481;264;0;
482;264;1;generalsh@ukr.net
483;265;0;
484;265;1;1212@dmsu.gov.ua
485;266;0;
486;266;1;CNAP@SHEV.GOV.UA
487;267;0;
488;267;1;cnap@shev.gov.ua
489;268;0;
490;268;1;fpnatali1@gmail.com
491;269;0;
492;269;1;vrer6vrer6@gmail.com
493;270;0;
494;270;1;88@igov.org.ua
495;271;0;
496;271;1;internationalrelations.te@gmail.com
497;272;0;
498;272;1;rulyashka@ukr.net
499;273;0;
500;273;1;lindroid@gmail.com
501;274;0;
502;274;1;картошка
503;275;0;
504;275;1;urzv@zt-rada.gov.ua
505;276;0;
506;276;1;tsaruprpratsi@gmail.com
507;277;0;
508;277;1;картошка
509;278;0;
510;278;1;картошка
511;279;0;
512;279;1;tsnap.pervom@ukr.net
513;280;0;
514;280;1;cnapnovopskov@i.ua
515;281;0;
516;281;1;картошка
517;282;0;
518;282;1;1217utszn@ukr.net
519;283;0;
520;283;1;Sybsid_1205@mail.ua
521;284;0;
522;284;1;uszn1224@ukr.net
523;285;0;
524;285;1;Lili10i@mail.ru
525;286;0;
526;286;1;cnapzal3@ukr.net
527;287;0;
528;287;1;lntsu@ukr.net
529;288;0;
530;288;1;logvinenkosrda@gmail.com
531;289;0;
532;289;1;картошка
533;290;0;
534;290;1;tsc4641.lviv@gmail.com
535;291;0;
536;291;1;ru_1303@ukr.net
537;292;0;
538;292;1;картошка
539;293;0;
540;293;1;1213mupszn@ukr.net
541;294;0;
542;294;1;znap_borshchiv@ukr.net
543;295;0;
544;295;1;ludmila_administrator@ukr.net
545;296;0;
546;296;1;Luda17_@ukr.net
547;297;0;
548;297;1;1217utszn@ukr.net
549;298;0;
550;298;1;tsnap.pervom@ukr.net
551;299;0;
552;299;1;privat_shev@mail.ru
553;300;0;
554;300;1;pavitska_administrator@ukr.net
555;301;0;
556;301;1;l_ydochka@ukr.net
557;302;0;
558;302;1;upszn1216@i.ua
559;303;0;
560;303;1;cnap.smilarda@ukr.net
561;304;0;
562;304;1;Zg2@te.gov.ua
563;305;0;
564;305;1;картошка
565;306;0;
566;306;1;lyuda-sholom@yandex.ua
567;307;0;
568;307;1;sub1201@i.ua
569;308;0;
570;308;1;subs1201@i.ua
571;309;0;380975474730
572;309;1;msvidran@gmail.com
573;310;0;
574;310;1;scic@email.dp.ua
575;311;0;
576;311;1;maxim.tereshchenko@privatbank.ua
577;312;0;
578;312;1;srda.manzhus@gmail.com
579;313;0;
580;313;1;vszn1@ukrpost.ua
581;314;0;
582;314;1;cnap.vilnogirsk@gmail.com
583;315;0;
584;315;1;skargi@regadm.gov.ua
585;316;0;
586;316;1;картошка
587;317;0;
588;317;1;1208zupszn@ukr.net
589;318;0;
590;318;1;soctrud7148@gmail.com dz_ruszn@ukrpost.ua
591;319;0;
592;319;1;1237@dmsu.gov.ua
593;320;0;
594;320;1;adamiw1988@ukr.net
595;321;0;
596;321;1;1248pershszn@ukr.net
597;322;0;
598;322;1;tsnap@zbarazh-rda.gov.ua
599;323;0;
600;323;1;martun010203@mail.ru
601;324;0;
602;324;1;dnepr.m2@ua.fm
603;325;0;
604;325;1;CNAP@SHEV.GOV.UA
605;326;0;
606;326;1;oa.myronenko@gmail.com
607;327;0;
608;327;1;dozvildndz@ukr.net
609;328;0;
610;328;1;srda.molchanova@gmail.com
611;329;0;
612;329;1;srda.moskovchenko@gmail.com
613;330;0;
614;330;1;murahovskaya@gmail.com
615;331;0;
616;331;1;dmdpi@dnp.ukrpack.net
617;332;0;
618;332;1;cnapzal3@ukr.net
619;333;0;
620;333;1;картошка
621;334;0;
622;334;1;pub_info@ko.te.ua
623;335;0;
624;335;1;irpin-subsidiya@ukr.net
625;336;0;
626;336;1;gavrilenco@dniprorada.gov.ua
627;337;0;
628;337;1;vpszn1211@i.ua
629;338;0;
630;338;1;tsar.alternatyva@gmail.com
631;339;0;
632;339;1;картошка
633;340;0;
634;340;1;kalanupczn@ukr.net
635;341;0;
636;341;1;картошка
637;342;0;
638;342;1;dsgp.vln@gmail.com
639;343;0;
640;343;1;skargi@regadm.gov.ua
641;344;0;
642;344;1;upszn_1242@srvk.gov.ua
643;345;0;
644;345;1;tsaruprpratsi@gmail.com
645;346;0;
646;346;1;upszn_ph@ukr.net
647;347;0;
648;347;1;1221@dmsu.gov.ua
649;348;0;
650;348;1;1213@dmsu.gov.ua
651;349;0;
652;349;1;1231@dmsu.gov.ua
653;350;0;
654;350;1;cnap_gus@ukr.net
655;351;0;
656;351;1;k_n_i@ukr.net
657;352;0;
658;352;1;marketing.dp@ukrposhta.com
659;353;0;
660;353;1;картошка
661;354;0;
662;354;1;utiszn1219@ukr.net
663;355;0;
664;355;1;1211@dmsu.gov.ua
665;356;0;
666;356;1;cnap35@rada.khmelnytsky.com
667;357;0;
668;357;1;upczn_tern@ukr.net
669;358;0;
670;358;1;zvern_ztoda@ukrpost.ua
671;359;0;
672;359;1;yurivka2012@yandex.ua
673;360;0;
674;360;1;1240@dmsu.gov.ua
675;361;0;
676;361;1;Uszn.1228@e-mail.ua
677;362;0;
678;362;1;dozvol_zenter@ukr.net
679;363;0;
680;363;1;nvrupszn@ukrpost.ua
681;364;0;
682;364;1;1225@dmsu.gov.ua
683;365;0;
684;365;1;noy_dp@i.ua
685;366;0;
686;366;1;stepashkanelya@gmail.com
687;367;0;
688;367;1;Analitik5555@gmail.com
689;368;0;
690;368;1;Uszn1222@i.ua
691;369;0;
692;369;1;zajats67@ukr.net
693;370;0;
694;370;1;uszntrda@ukt.net
695;371;0;
696;371;1;soc1212@ukr.net
697;372;0;
698;372;1;and-gni@ukr.net
699;373;0;
700;373;1;41238uszn@ukr.net
701;374;0;
702;374;1;1225utszn_pr@ukr.net
703;375;0;
704;375;1;картошка
705;376;0;
706;376;1;dnepr_2014@ ukr.net
707;377;0;
708;377;1;картошка
709;378;0;
710;378;1;картошка
711;379;0;
712;379;1;alex.gorgan@gmail.com
713;380;0;
714;380;1;картошка
715;381;0;
716;381;1;kamni@i.ua
717;382;0;
718;382;1;romny-admin@ukr.net
719;383;0;
720;383;1;картошка
721;384;0;
722;384;1;alex80674097219@gmail.com
723;385;0;
724;385;1;картошка
725;386;0;
726;386;1;1214@dmsu.gov.ua
727;387;0;
728;387;1;mn-centr@i.ua
729;388;0;
730;388;1;картошка
731;389;0;
732;389;1;otdelobrabotki1202@.ukr.net
733;390;0;
734;390;1;картошка
735;391;0;
736;391;1;miskradamena@gmail.com
737;392;0;
738;392;1;upszn_tomakovka@ukr.net
739;393;0;
740;393;1;dpi0463.dnipropetrovsk@Yandex.ua
741;394;0;
742;394;1;1210@dmsu.gov.ua
743;395;0;
744;395;1;1239indust@ukr.net
745;396;0;
746;396;1;informzv@i.ua
747;397;0;
748;397;1;lenra@commit.zp.ua
749;398;0;
750;398;1;adminkrasovska@ukr.net
751;399;0;
752;399;1;8kab_k-svuszn@ukr.net
753;400;0;
754;400;1;uprpraci@ukrpost.ua
755;401;0;
756;401;1;cnap32@rada.khmelnytsky.com
757;402;0;
758;402;1;office@dniprorada.gov.ua
759;403;0;
760;403;1;Hellen5565@mail.ru
761;404;0;
762;404;1;vidkryta-vlada@miac.dp.ua
763;405;0;
764;405;1;Rada.zvern@gmail.com
765;406;0;
766;406;1;1248pershszn@ukr.net
767;407;0;
768;407;1;cvirkun1989@mail.ru
769;408;0;
770;408;1;uprpraci@ukrpost.ua 1215upszn@ukr.net
771;409;0;
772;409;1;1234@dmsu.gov.ua
773;410;0;
774;410;1;upszn1241@ukr.net
775;411;0;
776;411;1;картошка
777;412;0;
778;412;1;картошка
779;413;0;
780;413;1;7751138@rambler.ru
781;414;0;
782;414;1;картошка
783;415;0;
784;415;1;bogoduhiv.tsnap@ukr.net
785;416;0;
786;416;1;mdpi64@dnp.ukrpack.net
787;417;0;
788;417;1;upszn-sf@ukrpost.ua
789;418;0;
790;418;1;cnapzal3@ukr.net
791;419;0;
792;419;1;1212@dmsu.gov.ua
793;420;0;
794;420;1;Lyla1710@ukr.net
795;421;0;
796;421;1;dozvol_zenter@ukr.net
797;422;0;
798;422;1;Cnap.trb@ukr.net
799;423;0;
800;423;1;1212@dmsu.gov.ua
801;424;0;
802;424;1;and-gni@ukr.net
803;425;0;
804;425;1;orlovska_admin@ukr.net
805;426;0;
806;426;1;dochmr@ukr.net
807;427;0;
808;427;1;картошка
809;428;0;
810;428;1;Kuznietsova@icloud.com
811;429;0;
812;429;1;centr7_5593522@ukr.net
813;430;0;
814;430;1;картошка
815;431;0;
816;431;1;картошка
817;432;0;
818;432;1;pavel.korchagin@privatbank.ua
819;433;0;
820;433;1;kyrbatsky@gmail.com
821;434;0;
822;434;1;картошка
823;435;0;
824;435;1;panasuk_y@ukr.net
825;436;0;
826;436;1;protokol@zt-rada.gov.ua
827;437;0;
828;437;1;palkan5@i.ua
829;438;0;
830;438;1;plv_upszn@ukr.net
831;439;0;
832;439;1;osbb_desnrda@ukr.net
833;440;0;
834;440;1;cnap@shev.gov.ua
835;441;0;
836;441;1;srda.protas@gmail.com
837;442;0;
838;442;1;Roksana-cherednik@yandex.ua
839;443;0;
840;443;1;zhigan.roman@gmail.com
841;444;0;
842;444;1;Vnap_pidv@ukr.net
843;445;0;
844;445;1;CNAP@SHEV.GOV.UA
845;446;0;
846;446;1;vorzp@desn.gov.ua
847;447;0;
848;447;1;rostislava.slota@meta.ua
849;448;0;
850;448;1;ruli@mail.ua
851;449;0;
852;449;1;ruli@mail.ua
853;450;0;
854;450;1;Leninskoe.1204@yandex.ua
855;451;0;
856;451;1;admin-svetlana@ukr.net
857;452;0;
858;452;1;miscevi@i.ua
859;453;0;
860;453;1;1247upszn@ukr.net
861;454;0;
862;454;1;leninskoe.1204@yandex.ua
863;455;0;
864;455;1;miss.dihtyar2015@yandex.ru
865;456;0;
866;456;1;sveta.yevchenko@ukr.net
867;457;0;
868;457;1;teplikcnap@ukr.net
869;458;0;
870;458;1;Upszn_shir@ukr.net
871;459;0;
872;459;1;ap_uszn@ukr.net
873;460;0;
874;460;1;1227-zahyst@ukr.net
875;461;0;
876;461;1;sveta-kolesnik-83@ukr.net
877;462;0;
878;462;1;kr_upszn@ua.fm
879;463;0;
880;463;1;galichenko@gai.dp.ua
881;464;0;
882;464;1;картошка
883;465;0;
884;465;1;sulenko250@ gmail.com
885;466;0;
886;466;1;tsc1242-13@dnp.mia.gov.ua
887;467;0;
888;467;1;cnap@shev.gov.ua
889;468;0;
890;468;1;картошка
891;469;0;
892;469;1;edo412@ukr.net
893;470;0;
894;470;1;upszn1210@gmail.com
895;471;0;
896;471;1;internationalrelations.te@gmail.com
897;472;0;
898;472;1;gta_dp@i.ua
899;473;0;
900;473;1;1214@dmsu.gov.ua
901;474;0;
902;474;1;Zg2@te.gov.ua
903;475;0;
904;475;1;картошка
905;476;0;
906;476;1;картошка
907;477;0;
908;477;1;картошка
909;478;0;
910;478;1;cnap.vilnogirsk@gmail.com
911;479;0;
912;479;1;upszn_bucha@ukr.net
913;480;0;
914;480;1;ouptaszn@ukr.net
915;481;0;
916;481;1;1232priyom@ukr.net
917;482;0;
918;482;1;administratorzhuravlova@ukr.net
919;483;0;
920;483;1;1251uszn@ukr.net
921;484;0;
922;484;1;картошка
923;485;0;
924;485;1;rda-kalan@khoda.gov.ua
925;486;0;
926;486;1;utiszn1219@ukr.net
927;487;0;
928;487;1;1212@dmsu.gov.ua
929;488;0;
930;488;1;upszn1237@i.uа 1237uszn.adres@ukr.net
931;489;0;
932;489;1;romny-admin@ukr.net
933;490;0;
934;490;1;картошка
935;491;0;
936;491;1;картошка
937;492;0;
938;492;1;картошка
939;493;0;
940;493;1;ratno_upszn@ukr.net
941;494;0;
942;494;1;upszn6322@ukr.net
943;495;0;
944;495;1;upszn1823@gmail.com
945;496;0;
946;496;1;ua1803@ukr.net
947;497;0;
948;497;1;kamuszn@zp.ukrtel.net
949;498;0;
950;498;1;kor_upszn@ukr.net
951;499;0;
952;499;1;utsznprim@meta.ua
953;500;0;
954;500;1;upszn.amr@ukr.net
955;501;0;
956;501;1;ananiv_soc@gupsp.odessa.gov.ua
957;502;0;
958;502;1;andrsovbez@an.zt.ukrtel.net
959;503;0;
960;503;1;utisznar@artemovsk.dc.ukrtel.net
961;504;0;
962;504;1;r19@ukrpost.net
963;505;0;
964;505;1;arciz_soc@gupsp.odessa.gov.ua
965;506;0;
966;506;1;p.49sobez@kharkov.ukrtel.net
967;507;0;
968;507;1;balta_soc@gupsp.odessa.gov.ua
969;508;0;
970;508;1;bar_upszn@ukr.net, 0513usp@ukr.net
971;509;0;
972;509;1;upszn-1802@ukr.net
973;510;0;
974;510;1;barv_uszn@ukr.net
975;511;0;
976;511;1;bahuszn@ukr.net
977;512;0;
978;512;1;utszn_bashtan@ukr.net
979;513;0;
980;513;1;bilyaivka_soc@gupsp.odessa.gov.ua
981;514;0;
982;514;1;uptszn@brd.zt.ukrtel.net
983;515;0;
984;515;1;socpro@rada-berdyansk.gov.ua
985;516;0;
986;516;1;brutcz@zp.ukrtel.net
987;517;0;
988;517;1;b_mupszn@ukrpost.ua
989;518;0;
990;518;1;beregovo_rupszn@ukrpost.ua
991;519;0;
992;519;1;beregany@sobes-ter.gov.ua
993;520;0;
994;520;1;berezan3253@ ukr.net
995;521;0;
996;521;1;berezivka_soc@gupsp.odessa.gov.ua
997;522;0;
998;522;1;bersoczah@ukr.net
999;523;0;
1000;523;1;upcznbhs@ukr.net
1001;524;0;
1002;524;1;bershadupszn@ukr.net
1003;525;0;
1004;525;1;bcrupszn@ukr.net
1005;526;0;
1006;526;1;bcuszn@ukr.net
1007;527;0;
1008;527;1;mbdnistrovsk_soc@gupsp.odessa.gov.ua
1009;528;0;
1010;528;1;bdnistrovsk_soc@gupsp.odessa.gov.ua
1011;529;0;
1012;529;1;soczah@bv.lg.ukrtel.net
1013;530;0;
1014;530;1;іnfo01@dszn.sm.gov.ua
1015;531;0;
1016;531;1;inbox2@bobr.kr-admin.gov.ua
1017;532;0;
1018;532;1;ksuta-as2013@yandex.ua
1019;533;0;
1020;533;1;bogupszn@ukr.net
1021;534;0;
1022;534;1;boguslav_upszn@ukr.net
1023;535;0;
1024;535;1;bolgrad_soc@gupsp.odessa.gov.ua
1025;536;0;
1026;536;1;bolehiv_sobez@meta.ua
1027;537;0;
1028;537;1;borznaupszn@ukr.net
1029;538;0;
1030;538;1;upsznbor@gmail.com
1031;539;0;
1032;539;1;rupszn3225@ukr.net
1033;540;0;
1034;540;1;mypszn@ukr.net
1035;541;0;
1036;541;1;borshchiv@sobes-ter.gov.ua
1037;542;0;
1038;542;1;rupszn3227@ukr.net
1039;543;0;
1040;543;1;upsznmbrovary@ukr.net
1041;544;0;
1042;544;1;brodysoczah@ukr.net
1043;545;0;
1044;545;1;info02@dszn.sm.gov.ua
1045;546;0;
1046;546;1;vsznburshtyn@ukr.net
1047;547;0;
1048;547;1;Uszn.busk@gmail.com
1049;548;0;
1050;548;1;upszn_bucha@ukr.net
1051;549;0;
1052;549;1;buchach@sobes-ter.gov.ua
1053;550;0;
1054;550;1;upszval@kharkov.ukrtel.net
1055;551;0;
