nID;sID_UA;sName_UA
73;10.07;Для рибогосподарських потреб
74;10.08;Для культурно-оздоровчих потреб, рекреаційних, спортивних і туристичних цілей
75;10.09;Для проведення науково-дослідних робіт
76;10.10;Для будівництва та експлуатації гідротехнічних, гідрометричних та лінійних споруд
77;10.11;Для будівництва та експлуатації санаторіїв та інших лікувально-оздоровчих закладів у межах прибережних захисних смуг морів, морських заток і лиманів
78;10.12;Для цілей підрозділів 10.01-10.11 та для збереження та використання земель природно-заповідного фонду
79;11.01;Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємствами, що пов'язані з користуванням надрами
80;11.02;Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості
81;11.03;Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд будівельних організацій та підприємств
82;11.04;Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд технічної інфраструктури (виробництва та розподілення газу, постачання пари та гарячої води, збирання, очищення та розподілення води)
83;11.05;Для цілей підрозділів 11.01-11.04 та для збереження та використання земель природно-заповідного фонду
84;12.01;Для розміщення та експлуатації будівель і споруд залізничного транспорту
85;12.02;Для розміщення та експлуатації будівель і споруд морського транспорту
86;12.03;Для розміщення та експлуатації будівель і споруд річкового транспорту
87;12.04;Для розміщення та експлуатації будівель і споруд автомобільного транспорту та дорожнього господарства
88;12.05;Для розміщення та експлуатації будівель і споруд авіаційного транспорту
89;12.06;Для розміщення та експлуатації об'єктів трубопровідного транспорту
90;12.07;Для розміщення та експлуатації будівель і споруд міського електротранспорту
91;12.08;Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій
92;12.09;Для розміщення та експлуатації будівель і споруд іншого наземного транспорту
93;12.10;Для цілей підрозділів 12.01-12.09 та для збереження та використання земель природно-заповідного фонду
94;13.01;Для розміщення та експлуатації об'єктів і споруд телекомунікацій
95;13.02;Для розміщення та експлуатації будівель та споруд об'єктів поштового зв'язку
96;13.03;Для розміщення та експлуатації інших технічних засобів зв'язку
97;13.04;Для цілей підрозділів 13.01-13.03 та для збереження та використання земель природно-заповідного фонду
98;14.01;Для розміщення, будівництва, експлуатації та обслуговування будівель і споруд об'єктів енергогенеруючих підприємств, установ і організацій
99;14.02;Для розміщення, будівництва, експлуатації та обслуговування будівель і споруд об'єктів передачі електричної та теплової енергії
100;14.03;Для цілей підрозділів 14.01-14.02 та для збереження та використання земель природно-заповідного фонду
101;15.01;Для розміщення та постійної діяльності Збройних Сил України
102;15.02;Для розміщення та постійної діяльності внутрішніх військ МВС
103;15.03;Для розміщення та постійної діяльності Державної прикордонної служби України
104;15.04;Для розміщення та постійної діяльності Служби безпеки України
105;15.05;Для розміщення та постійної діяльності Державної спеціальної служби транспорту
106;15.06;Для розміщення та постійної діяльності Служби зовнішньої розвідки України
107;15.07;Для розміщення та постійної діяльності інших, створених відповідно до законів України, військових формувань
108;15.08;Для цілей підрозділів 15.01-15.07 та для збереження та використання земель природно-заповідного фонду
109;16.00;Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)
110;17.00;Землі резервного фонду (землі, створені органами виконавчої влади або органами місцевого самоврядування у процесі приватизації сільськогосподарських угідь, які були у постійному користуванні відповідних підприємств, установ та організацій)
111;18.00;Землі загального користування (землі будь-якої категорії, які використовуються як майдани, вулиці, проїзди, шляхи, громадські пасовища, сіножаті, набережні, пляжі, парки, зеленізони, сквери, бульвари, водні об'єкти загального користування, а також інші землі, якщо рішенням відповідного органу державної влади чи місцевого самоврядування їх віднесено до земель загального користування)
112;19.00;Для цілей підрозділів 16.00-18.00 та для збереження та використання земель природно-заповідного фонду
