nID_SubjectOrganJoin;sName;sValue
1119;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''
1119;sRecvizitiAdmin;Отримувач: ГУ ДКСУ України в Дніпропетровській області,Р/р: 31413538700029, ЄДРПОУ: 38033121, МФО: 805012 в ГУДКСУ у Дніпропетровській області
1119;sRegistrationOrgan;Відділ реєстрації та обліку громодян Нікопольської міської ради
1119;sShapkaVet;Начальнику управління<br> ветеринарної медицини<br> в  м. Нікополь

1120;shapka;Начальнику Управління Держгеокадастру у Наддвірнянському районі Івано-Франківської області
1120;nRegion;202
1120;sClerkPost;Nadvirna@email.net
1120;sRekv;
1120;sNameOrgan;ЦНАП Наддвірнянської РДА
1120;sWorkTime; <b>Графік роботи:</b><p>Понеділок, вівторок, п’ятниця з 08.00 до 17.15<br>середа, четвер з 08.00 до 20.00<br>субота з 08.00 до 15.00<br>Вихідний - Неділя</p>
1120;sPhoneOrgan; <b>Телефон:</b> (03475) 2 91 10
1120;sAddress; <b>Адреса:</b>78400, Івано-Франківська обл., м. Надвірна, вул. майдан Шевченка, 41
1120;sMailClerk;Nadvirna@email.net

1121;shapka;Начальнику Управління Держгеокадастру у м. Вознесенськ Миколаївської області
1121;nRegion;322
1121;sClerkPost;Voznesensk@email.net
1121;sRekv;
1121;sShapkaGolova;Міському голові <br>м. Вознесенськ
1121;sNameOrgan; ЦНАП м. Вознесенська
1121;sWorkTime; <b>Графік роботи:</b><p>Понеділок, середа: 08.00 - 18.00<br>вівторок, четвер, субота: 08.00 - 17.00<br>п’ятниця: 08.00 - 16.00<br>Вихідний - Неділя</p>
1121;sPhoneOrgan; <b>Телефон:</b>(05134) 3-27-09
1121;sAddress; <b>Адреса:</b>56500, Миколаївська обл., м. Вознесенськ, вул. Леніна, 14
1121;sMailClerk; Voznesensk@email.net

1122;shapka;Начальнику Управління Держгеокадастру у м. Кузнецовськ Рівненської області
1122;nRegion;407
1122;sClerkPost;cnap@kuznetsovsk-rada.gov.ua
1122;sRekv;
1122;sNameOrgan;ЦНАП м. Кузнецовська
1122;sWorkTime;<b>Графік роботи:</b> Понеділок, середа з 8.00 до 17.15<br>Вівторок, четвер з 8.00 до 20.00<br>П'ятниця, субота з 8.00 до 16.00<br>Без перерви на обід<br>
1122;sPhoneOrgan;<b>Телефон:</b> (03636) 2-23-73
1122;sAddress;<b>Адреса:</b> м.Кузнецовськ, майдан Незалежності, 2, каб. 1-105.
1122;sMailClerk;cnap@kuznetsovsk-rada.gov.ua, lyuda-sholom@yandex.ua
1122;sShapka;Центр надання адміністративних послуг Кузнецовської міської ради
1122;sShapka_mode_worktime_529;Міському голові м. Кузнецовська
1122;sShapkaGolova;Міському голові <br>м. Кузнецовськ
1122;sShapkaZt;Міському голові м. Кузнецовська
1122;sPlaseZt;м. Кузнецовськ
1122;sOrgan;міського голови м. Кузнецовська

1123;shapka;Начальнику Управління Держгеокадастру у м. Здолбунів Рівненської області
1123;nRegion;417
1123;sClerkPost;Zdolbuniv@email.net
1123;sRekv;
1123;sNameOrgan; ЦНАП Здолбунівського району
1123;sWorkTime; <b>Графік роботи:</b> <p>Понеділок, середа: 09.00-18.15<br>вівторок, четвер: 09.00-20.00<br>п'ятниця: 09.00-17.00<br>субота: 09.00-15.00<br><br>Вихідний - Неділя</p>
1123;sPhoneOrgan; <b>Телефон:</b>(03652) 2-51-52
1123;sAddress; <b>Адреса:</b>35700, Рівненська обл., м. Здолбунів, вул. Незалежності, 36
1123;sMailClerk;Zdolbuniv@email.net

1124;shapka;Начальнику Управління Держгеокадастру у Харківському районі Харківської області
1124;nRegion;509
1124;sClerkPost;admin-svetlana@ukr.net
1124;sRekv;
1124;sNameOrgan;ЦНАП Харківської РДА
1124;sWorkTime; <b>Графік роботи:</b><p>Понеділок, середа, субота 8.00-17.00<br>вівторок, четвер 8.00-20.00<br>п'ятниця 8.00-15.00<br>Вихідний - Неділя</p>
1124;sPhoneOrgan; <b>Телефон:</b>(057)3701010
1124;sAddress; <b>Адреса:</b>61034, Харківська обл., м. Харків, Комсомольське шоссе, 5
1124;sMailClerk; admin-svetlana@ukr.net

1125;shapka;Начальнику Управління Держгеокадастру у м. Буча Київської області
1125;nRegion;212
1125;sClerkPost;stepashkanelya@gmail.com
1125;sRekv;ГУДК СУ Київської області, м. Київ<br>Одержувач: 22012500<br>Рахунок 33211879727008 ГК у м. Ірпені (м. Буча)<br>МФО 821018<br>ОКПО 37911135
1125;sShapka220;Начальнику Головного управління Держсанепідслужби у Київський області
1125;sMailClerk;stepashkanelya@gmail.com
1125;sNameOrgan;ЦНАП Бучанської міськради
1125;sPhoneOrgan;<b>Телефон(и):</b> (04597) 483-93
1125;sWorkTime;<b>Графік роботи:</b> Понеділок, середа, п'ятниця з 8.00 до 17.00<br>вівторок, четвер з 8.00 до 20.00<br>субота з 8.00 до 14.00<br>Вихідний - Неділя
1125;sAddress;<b>Адреса:</b> 08292, Київська обл., м. Буча, вул. Енергетиків, 12
1125;sShapkaVet;Начальнику управління <br>ветеринарної медицини<br> у м. Буча Київської області
1125;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
1125;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''
1125;sShapka;Голові м. Буча, Київська область

1126;shapka;Начальнику Управління Держгеокадастру у Теплицькому районі Вінницької області
1126;nRegion;59
1126;sClerkPost;teplikcnap@ukr.net
1126;sRekv;ГУДКСУ у Вінницькій області<br>Одержувач: 22012500<br>Рахунок 33215879727498 УК у Теплицькому районі<br>МФО 802015<br>ОКПО 37337576
1126;sAddress;<b>Адреса:</b> 23800, Вінницька область, смт. Теплик, вул. Незалежності, 25
1126;sNameObject;Теплицька районна Рада Вінницької області
1126;sTelephonDovidka;Телефон для довідок:(04353) 2-19-09
1126;sWork_Time;<p>Понеділок, середа, п’ятниця з 08.00 до 17.00<br>вівторок, четвер з 08.00 до 20.00<br>Вихідний - неділя</p>
1126;sShapka_dozvil_na_reklamu_184;Директору департамента<br>житлово-комунального господарства
1126;sShapka220;Начальнику Головного управління Держсанепідслужби у Вінницький області
1126;sMailClerk;cnap@teplykrda.gov.ua
1126;sNameOrgan;ЦНАП Теплицької РДА
1126;sPhoneOrgan;<b>Телефон(и):</b> (04353) 2-19-09
1126;sWorkTime;<b>Графік роботи:</b> Понеділок, середа, п’ятниця з 08.00 до 17.00<br>вівторок, четвер з 08.00 до 20.00<br>Вихідний - неділя
1126;sShapkaVet;Начальнику управління<br> ветеринарної медицини<br> у Теплицькому районі Вінницької області
1126;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
1126;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''
1126;sShapka;Голові Теплицької районної державної адміністрації, Вінницька область

1127;shapka;Начальнику Управління Держгеокадастру у м. Дніпродзержинську Дніпропетровської області
1127;nRegion;26
1127;sClerkPost;dozvildndz@ukr.net
1127;sRekv;УДКСУ у м.Дніпродзержинську<br>Одержувач: 22012500<br>Рахунок 33211879727013 ГУДКСУ у Дніпропетровській області<br>МФО 805012<br>ОКПО 38028588
1127;sAddress;<b>Адреса:</b> 51900, Дніпропетровська обл., м. Дніпродзержинськ, пр. Комсомольський, 10/12
1127;sNameObject;ЦНАП Дніпродзержинської міськради
1127;sTelephonDovidka;Телефон для довідок: (05692) 2-61-50, (05692) 2-73-03
1127;sWork_Time;Понеділок, середа, п'ятниця з 8.00 до 17.00<br>Вівторок, четвер з 8.00 до 20.00<br>Субота з 9.00 до 16.00<br>Вихідний - Неділя
1127;sNameOrgan;ЦНАП м. Дніпродзержинськ
1127;sPhoneOrgan;<b>Телефон(и):</b> (05692) 26150, (05692) 27303
1127;sMailClerk;dozvildndz@ukr.net
1127;sMailOfficialContact;<b>E-mail:</b> dozvildndz@ukr.net
1127;sWepPortal;<b>Веб портал:</b> <a href='http://www.dndz.gov.ua'>ЦНАП м. Дніпродзержинська </a>
1127;sWorkTime;<b>Графік роботи:</b> Понеділок, середа, п’ятниця з 08.00 до 17.00<br>вівторок, четвер з 08.00 до 20.00<br>у субботу з 9.00 до 16.00.
1127;nArea;26
1127;sArea;Дніпродзержинськ
1127;sShapka;Центр надання адміністративних послуг Дніпродзержинської міської ради<br> Дніпродзержинському міському голові
1127;nID_Department_visitDay;34
1127;sShapka_dozvil_na_reklamu_184;Директору департамента<br>житлово-комунального господарства
1127;sShapka220;Начальнику Дніпродзержинського міського Управління Головного управління Держсанепідслужби у Дніпропетровській області
1127;sShapka273;Міському голові м. Дніпродзержинськ
1127;sShapkaGolova;Міському голові м. Дніпродзержинськ
1127;sArchShapka;Управлінню містобудування та архітектури Дніпродзержинскьої міської ради
1127;sArchName; 
1127;sShapkaVet;Начальнику управління<br> ветеринарної медицини<br> в м. Дніпродзержинську Дніпропетровської області
1127;sShapka_mode_worktime_529;Начальникові управління надання <br> муніципальних послуг та розвитку <br>підприємництва, директору міського <br>центру муніципальних послуг <br>міської ради 
1127;sShapka_190;Міському голові м. Дніпродзержинська
1127;Registrationservice; ________
1127;sOrganType;ЦНАП
1127;sRecviziti;Одержувач: УДК в м. Дніпропетровськ, Банк ГУ ДКСУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 38028588, Р/р 31418538700013, код платежу 22090100
1127;sKab89;адміністратора
1127;sKab205;адміністратора
1127;sKab280;адміністратора
1127;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
1127;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''

1128;shapka;Начальнику відділу Держгеокадастру Царичанського району Дніпропетровської області
1128;nRegion;20
1128;sClerkPost;tsar.alternatyva@gmail.com
1128;sRekv;УК у Царичанському районі<br>Одержувач: 22012500<br>Рахунок 332158797277354 в ГУДКСУ у Дніпропетровській області<br>МФО 805012<br>ОКПО 37901650
1128;sNameOrgan;ЦНАП Царичанської РДА
1128;sAddress;<b>Адреса:</b> 51000, смт. Царичанка, вул. Театральна, 17
1128;sPhoneOrgan;<b>Телефон(и):</b> (05690) 3-26-81
1128;sMailClerk;tsar.alternatyva@gmail.com
1128;sMailOfficialContact;<b>E-mail:</b> alternatiwa2012@mail.ru
1128;sWepPortal;<b>Веб портал:</b> <a href='http://www.tsarich-rn.dp.gov.ua/'>ЦНАП Царичанської РДА </a>
1128;sWorkTime;<b>Графік роботи:</b> Понеділок – п’ятниця: 8:00 – 20:00 Субота: 9:00 – 16:00
1128;nArea;20
1128;sShapka;Голові Царичанської районної державної адміністрації
1128;nID_Department_visitDay;93
1128;sShapka220;Головному державному санітарному лікарю Царичанського, Петриківського, Магдалинівського району
1128;sArchShapka;Головному спеціалісту, головному архітектору Царичанської РДА
1128;sArchName; 
1128;sShapkaGolova;Голові<br> Царичанської РДА
1128;sArea;Царичанський район
1128;Registrationservice;Царичанський РС ГУ ДМС України в Дніпропетровській області
1128;sOrganType;ЦНАП
1128;sRecviziti;
1128;sKab89;адміністратора
1128;sKab205;адміністратора
1128;sKab280;адміністратора
1128;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
