nID;sName;nOrder;nID_Subcategory;sInfo;sFAQ;sLaw;nOpenedLimit;sSubjectOperatorName
29;Реєстрація місця проживання особи (із опцією одночасного зняття з реєстрації з попереднього місця);3;4;[*];;;0;Органи місцевого самоврядування
30;Надання статусу та видача (заміна) посвідчення члена сім’ї загиблого (померлого) ветерана війни;100;22;[*];;[*];0;Управління праці та соціального захисту населення
31;Надання статусу та видача довідок «Дитина війни»;100;22;[*];;[*];0;Управління праці та соціального захисту населення
32;Державна реєстрація права власності на нерухоме майно та його обтяжень;100;1;;;;0;Міністерство юстиції
33;Державна реєстрація прав на нерухоме майно та їх обтяжень;100;1;;;;0;Міністерство юстиції
34;Заявка на проведення огляду судна в експлуатацiї;100;17;[*];;;0;Регістр судноплавства України
35;Надання згоди на виготовлення будівельного паспорта на житловий або садовий будинок;100;1;[*];;;0;Місцеві органи влади
36;Видача посвідчення учасника війни;100;22;[*];;;0;Управління праці та соціального захисту населення
37;Надання паспортів прив’язки тимчасових споруд для здійснення підприємницької діяльності;100;7;;;;0;Місцеві органи влади
38;Надання технічного висновку про вплив переобладнання на несучу спроможність конструкцій;100;1;;;;0;Місцеві органи влади
39;_Погодження на будівництво споруд, об’єктів дорожнього сервісу, автозаправних станцій, прокладення інженерних мереж та виконання інших робіт у межах смуги відведення автомобільних доріг;100;7;[*];;;0;Місцеві органи влади
40;Повідомлення про проведення зборів, мітингів, маніфестацій і демонстрацій, спортивних, видовищних та інших масових заходів;100;2;[*];;[*];0;Місцеві органи влади
41;Виправлення технічної помилки у відомостях з державного земельного кадастру, яка була допущена органом, що здійснює його ведення;100;1;[*];;;0;Державне земельне агентство
42;Внесення до Державного земельного кадастру відомостей (змін до них) про землі в межах території адміністративно-територіальних одиниць;100;1;;;;0;Державне земельне агентство
43;Внесення до Державного земельного кадастру відомостей про обмеження у використанні земель, встановлені законами та прийнятими відповідно до них нормативно-правовими актами;100;1;;;;0;Державне земельне агентство
44;Державна реєстрація обмежень у використанні земель;100;1;;;;0;Державне земельне агентство
45;Надання відомостей з Державного земельного кадастру у формі викопіювань з кадастрової карти (плану) та іншої картографічної документації Державного земельного кадастру;100;1;[*];;;0;Державне земельне агентство
46;Надання відомостей з державного земельного кадастру у формі витягу з державного земельного кадастру про землі в межах території адміністративно-територіальних одиниць;100;1;[*];;;0;Державне земельне агентство
47;Надання відомостей з Державного земельного кадастру у формі витягу з Державного земельного кадастру про обмеження у використанні земель;100;1;[*];;;0;Державне земельне агентство
48;Надання відомостей з Державного земельного кадастру у формі довідки, що містить узагальнену інформацію про землі (території);100;1;[*];;;0;Державне земельне агентство
49;Видача листа про прийняття рішення щодо можливості/неможливості видачі дозволу на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами суб`єкта господарювання, об`єкт якого належить до другої або третьої групи;100;9;[*];;[*];0;Головне управління держсанепідслужби
50;Направлення в дошкільні навчальні заклади (групи) компенсуючого типу;100;20;;;;0;Місцеві органи влади
51;Внесення змін до декларації про готовність об`єкта до експлуатації;100;7;;;;0;Державна архітектурно-будівельна інспекція України
52;Внесення змін до декларації про початок виконання будівельних робіт;100;7;;;;0;Державна архітектурно-будівельна інспекція України
53;Внесення змін до декларації про початок виконання підготовчих робіт;100;7;;;;0;Державна архітектурно-будівельна інспекція України
54;Реєстрація декларації про готовність об`єкта до експлуатації;100;7;;;;0;Державна архітектурно-будівельна інспекція України
55;Реєстрація декларації про початок будівельних робіт;100;1;;;;0;Державна архітектурно-будівельна інспекція України
56;Реєстрація декларації про початок виконання підготовчих робіт;100;7;;;;0;Державна архітектурно-будівельна інспекція України
57;_test_send_user;100;23;;;;0;Тестова служба
58;Видача документів про уповноваження з розслідування нещасного випадку;100;2;[*];;;0;Місцеві органи влади
59;Ліцензія на здійснення суб’єктами зовнішньоекономічної діяльності експорту товарів;100;10;[*];;;0;Обласна державна адміністрація - департамент економічного розвитку
60;Ліцензія на здійснення суб’єктами зовнішньоекономічної діяльності імпорту товарів;100;10;[*];;;0;Обласна державна адміністрація - департамент економічного розвитку
61;Надання дозволу на проїзд під заборонні знаки дорожнього регулювання;100;17;;;;0;Місцеві органи влади
62;Свідоцтво про внесення суб’єкта видавничої справи до Державного реєстру видавців, виготівників і розповсюджувачів видавничої продукції;100;11;;;;0;Обласна державна адміністрація - управління культури
63;Надання ордеру на видалення зелених насаджень;100;7;[*];;;0;Місцеві органи влади
64;Видача ордера на службове жиле приміщення;100;1;[*];;;0;Місцеві органи влади
65;Дозвіл на внесення суб’єкта кінематографії до державного реєстру виробників, розповсюджувачів і демонстраторів фільмів;100;11;[*];;;0;Обласна державна адміністрація - управління культури
66;Дозвіл на проведення робіт на пам'ятках історії, монументального мистецтва та науки і техніки місцевого значення;100;11;[*];;;0;Обласна державна адміністрація - управління культури
67;Погодження розміщення реклами на пам’ятках місцевого значення, в межах зон охорони таких пам’яток в населених пунктах;100;11;[*];;;0;Обласна державна адміністрація - управління культури
68;Реєстрація дозволів на проведення археологічних розвідок, розкопок;100;11;[*];;;0;Обласна державна адміністрація - управління культури
69;Свідоцтво про атестацію початкових спеціалізованих мистецьких навчальних закладів;100;11;;;;0;Обласна державна адміністрація - управління культури
70;Надання ліцензія на здійснення освітньої діяльності у сфері дошкільної освіти;100;13;;;;0;Обласна державна адміністрація - департамент освіти і науки
71;Надання ліцензія на здійснення освітньої діяльності у сфері загальної середньої освіти;100;13;;;;0;Обласна державна адміністрація - департамент освіти і науки
72;Надання ліцензія на здійснення освітньої діяльності у сфері позашкільної освіти;100;13;;;;0;Обласна державна адміністрація - департамент освіти і науки
73;Переоформлення, видача копії або дубліката ліцензії на надання освітніх послуг у сфері загальної середньої, дошкільної, позашкільної освіти;100;13;[*];;;0;Обласна державна адміністрація - департамент освіти і науки
74;Організація об’єкта з надання ринкових послуг (ринкового об’єкта);100;7;;;;0;Місцеві органи влади
75;Надання дозволу органу опіки та піклування на вчинення правочину з майном, що перебуває у власності неповнолітніх;100;20;[*];;;0;Місцеві органи влади - Служба у справах дітей
76;Отримання інформації про хід виконавчого провадження;100;24;[*];;;0;Міністерство юстиції - управління державної виконавчої служби
77;Отримання відомостей про платіжні реквізити Державної виконавчої служби;100;24;[*];;;0;Міністерство юстиції - управління державної виконавчої служби
78;Зразки документів для звернення до органів Державної виконавчої служби;100;24;[*];;;0;Міністерство юстиції - управління державної виконавчої служби
79;Надання дозволу на відключення від мереж централізованого опалення і постачання гарячої води;100;1;[*];;;0;Місцеві органи влади
80;Видача витягу з Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців;100;15;;;;0;Міністерство юстиції
81;Видача довідки з Єдиного державного реєстру юридичних осіб та фізичних осіб-підприємців;100;15;;;;0;Міністерство юстиції
82;Включення до Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців відомостей про закриття відокремленого підрозділу юридичної особи;100;15;;;;0;Міністерство юстиції
83;Включення до Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців відомостей про створення відокремленого підрозділу юридичної особи;100;15;;;;0;Міністерство юстиції
84;Внесення до Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців запису про втрату оригіналів установчих документів юридичної особи;100;15;;;;0;Міністерство юстиції
85;Надання довідки про невідвідування дошкільного закладу дитиною;100;20;;;;0;Місцеві органи влади
86;Державна реєстрація змін до установчих документів юридичної особи;100;15;;;;0;Міністерство юстиції
87;Державна реєстрація припинення підприємницької діяльності фізичної особи – підприємця за її рішенням;100;15;;;;0;Міністерство юстиції
88;Державна реєстрація припинення юридичної особи в результаті злиття, приєднання, поділу або перетворення;100;15;;;;0;Міністерство юстиції
89;Державна реєстрація припинення юридичної особи в результаті її ліквідації;100;15;;;;0;Міністерство юстиції
90;Державна реєстрація фізичної особи-підприємця;100;15;;;;0;Міністерство юстиції
91;Державна реєстрація юридичної особи;100;15;;;;0;Міністерство юстиції
92;Відомча реєстрація великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
93;Зняття з обліку великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
94;Перереєстрація великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
95;Тимчасова реєстрація великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
96;Надання дозволу релігійним організаціям на проведення релігійних заходів, які проводяться поза межами культових споруд;100;11;[*];;;0;Місцеві органи влади
97;Довідка про неотримання аліментів або розмір аліментів (для отримання тимчасової державної допомоги);100;24;[*];;;0;Міністерство юстиції - управління державної виконавчої служби
98;Видача відомостей з документації із землеустрою, що включена до державного фонду документації із землеустрою;100;1;;;;0;Державне земельне агентство
99;Внесення до Державного земельного кадастру відомостей (змін до них) про земельну ділянку;100;1;[*];;;0;Державне земельне агентство
100;Державна реєстрація земельної ділянки з видачею витягу з Державного земельного кадастру;100;1;[*];;;0;Державне земельне агентство
101;Надання відомостей з Державного земельного кадастру у формі витягу з Державного земельного кадастру про земельну ділянку;100;1;;;;0;Державне земельне агентство
102;Надання довідки з Державної статистичної звітності про наявність земель та розподіл їх за власниками земель, землекористувачами, угіддями (за даними форми 6-ЗЕМ);100;1;[*];;;0;Державне земельне агентство
103;Приватизація квартир, що знаходяться у комунальній власності;100;1;[*];;;0;Місцеві органи влади
104;Приватизація державного житлового фонду;100;1;;;;0;Місцеві органи влади
105;Приватизація житлових приміщень (кімнат, квартир) у гуртожитках що належать до комунальної власності територіальної громади міста;100;1;;;;0;Місцеві органи влади
106;Видача Акту обстеження земельної ділянки на наявність зелених насаджень;100;1;[*];;;0;Місцеві органи влади
107;Запис на особистий прийом до керівника органу державної виконавчої служби;100;24;[*];;;0;Міністерство юстиції - управління державної виконавчої служби
108;Дозвіл на розроблення проекту землеустрою щодо відведення земельної ділянки (самочинно збудоване нерухоме майно);100;1;[*];;;0;Місцеві органи влади
109;Надання дозволу на виготовлення технічної документації із землеустрою щодо посвідчення права користування земельною ділянкою;100;1;;;;0;Місцеві органи влади
110;Видача/обмін посвідчення особи моряка;10;4;[*];;;0;Міністерство інфраструктури України
111;Лісорубний квиток (спеціальний дозвіл) на заготівлю деревини під час проведення рубок головного користування;100;5;;;;0;Обласна державна адміністрація - управління лісового та мисливського господарства
112;Видача розрахунку заборгованості зі сплати аліментів;100;24;[*];;;0;Міністерство юстиції - управління державної виконавчої служби
113;Форма для подання запиту на отримання публічної інформації від фізичної особи в письмовому вигляді;100;24;[*];;[*];0;Міністерство юстиції - управління державної виконавчої служби
114;_Тестирование удаления заявки;100;23;[*];;;0;Тестова служба
115;Декларація відповідності матеріально-технічної бази роботодавця вимогам законодавства з питань охорони праці та промислової безпеки;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
116;_test_ved2;100;23;;;;0;Тестова служба
117;Заява про ознайомлення з матеріалами виконавчого провадження;100;24;[*];;[*];0;Міністерство юстиції - управління державної виконавчої служби
118;Оформлення посвідчення члена екіпажу;17;17;[*];;;0;Міністерство інфраструктури України
119;_test_Corezoid;100;23;;;;0;Тестова служба
120;Видача ліцензії на перевезення пасажирів, небезпечних вантажів та небезпечних відходів річковим, морським транспортом;100;5;[*];;;0;Державна служба України з безпеки на транспорті (Укртрансбезпека)
121;Узгодження маршрутів дорожнього перевезення небезпечного вантажу;100;17;[*];;;0;МВС
122;Реєстрація декларації відповідності матеріально-технічної бази суб’єкта господарювання вимогам законодавства з питань пожежної безпеки;100;15;;;;0;Державна служба з надзвичайних ситуацій
123;Запис на оформлення посвідчення члена екіпажу;10;17;[*];;;0;Міністерство інфраструктури України
124;Прийняття рішення щодо передачі земельних ділянок сільськогосподарського призначення державної власності (для юридичних осіб та фізичних осіб-підприємців);100;7;;;;0;Державне земельне агентство
125;Витяг з Державного реєстру актів цивільного стану громадян про народження із зазначенням відомостей про батька відповідно до ч.I ст. 135 Сімейного кодексу України;100;20;;;;0;Міністерство юстиції
126;Надання дозволу на відведення земельної ділянки у власність;100;1;[*];;;0;Місцеві органи влади
127;Надання дозволу на відведення земельної ділянки в оренду;100;1;[*];;;0;Місцеві органи влади
128;Надання дозволу на відведення земельної ділянки у постійне користування;100;1;[*];;;0;Місцеві органи влади
129;Дозвіл на розроблення проекту землеустрою щодо відведення земельної ділянки з метою садівництва;100;1;[*];;;0;Місцеві органи влади
130;Звернення громадян до ПАТ Дніпрогаз;100;2;;;;0;Місцеві органи влади
131;Постановка на військовий облік;100;6;;;;0;Районний військовий комісаріат
132;Зняття з військового обліку;100;6;;;;0;Районний військовий комісаріат
133;Дозвіл на всі види досліджень з мікроорганізмами ІІ групи патогенності (небезпеки) або матеріалом підозрілим на їх вміст (за винятком установ медичного профілю);100;12;[*];;;0;Головне управління держсанепідслужби
134;Дозвіл на всі види досліджень та експериментальні роботи з мікроорганізмами ІІІ-IV групи патогенності (небезпеки) або матеріалом підозрілим на їх вміст (в т.ч. приватним лабораторіям);100;12;[*];;;0;Головне управління держсанепідслужби
135;Дозвіл на проведення діагностичних, експериментальних, випробувальних, вимірювальних робіт на підприємствах, в установах та організаціях, діяльність яких пов`язана з використанням джерел неіонізуючого випромінювання;100;12;[*];;;0;Головне управління держсанепідслужби
136;Надання земельної ділянки, зареєстрованої в Державному земельному кадастрі, в оренду або в постійне користування юридичним особам та суб’єктам підприємницької діяльності без складання документації із землеустрою;100;7;;;;0;Місцеві органи влади
137;Дозвіл на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами;100;9;[*];;;0;Обласна державна адміністрація - департамент екології та природних ресурсів
138;Дозвіл на спеціальне водокористування в разі використання води водних об’єктів загальнодержавного значення;100;9;;;;0;Місцеві органи влади - Виконавчий комітет
139;Копії рішень міської (селищної) ради про надання дозволу на розроблення проекту відведення земельної ділянки;100;1;[*];;;0;Місцеві органи влади - Виконавчий комітет
140;Копії рішень міської (селищної) ради про надання земельних ділянок державної комунальної власності у користування;100;1;[*];;;0;Місцеві органи влади - Виконавчий комітет
141;Копії рішень міської (селищної) ради про передачу в оренду земельних ділянок, що перебувають у державній або комунальній власності;100;1;[*];;;0;Місцеві органи влади - Виконавчий комітет
142;Копії рішень міської (селищної) ради про продаж земельних ділянок державної та комунальної власності;100;1;[*];;;0;Місцеві органи влади - Виконавчий комітет
143;Дозвіл на зняття та перенесення ґрунтового покриву земельних ділянок;100;7;[*];;;0;Державна інспекція сільського господарства
144;Зняття з реєстрації місця проживання особи у зв'язку зі смертю;100;4;[*];;;0;Органи місцевого самоврядування
145;Реєстрацiя транспортного засобу за рішенням суду;50;3;[*];;;0;МВС
146;Звернення моряків за домогою до профспілки робітників морського транспорту;100;2;;;;0;Профспілка робітників морського транспорту України
148;Дозвіл на виконання робіт підвищеної небезпеки та на експлуатацію (застосування) машин, механізмів, устаткування підвищеної небезпеки;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
149;Дозвіл на участь у дорожньому русі транспортних засобів, вагові або габаритні параметри яких перевищують нормативні;100;17;[*];;;0;МВС
151;Експлуатаційний дозвіл для провадження діяльності на потужностях (об’єктах) з переробки неїстівних продуктів тваринного походження або з виробництва, змішування та приготування кормових добавок, преміксів і кормів;100;12;[*];;;0;Головне Управління Держпродспоживслужби
152;Експлуатаційний дозвіл операторам потужностей (об’єктів), що здійснюють виробництво харчових продуктів, підконтрольних ветеринарній службі, та для агропродовольчих ринків;100;12;[*];;;0;Головне Управління Держпродспоживслужби
153;Дозвіл на розміщення зовнішньої реклами поза межами населених пунктів області;100;7;[*];;;0;Обласна державна адміністрація - управління інфраструктури
154;_test_UKR_DOC;100;23;;;;0;Тестова служба
155;Звернення громадян до ТОВ Дніпрообленерго;100;2;;;;0;Місцеві органи влади
156;Дозвіл (санітарний паспорт) на право експлуатації рентгенівського кабінету (зберігання та експлуатації пересувних і переносних (палатних) рентгенівських апаратів) лікувально-профілактичних закладів;100;12;[*];;;0;Головне управління держсанепідслужби
157;Дозвіл (санітарний паспорт) на проведення робіт з джерелами іонізуючих випромінювань в установах ;100;12;[*];;;0;Головне управління держсанепідслужби
158;Дозвіл на спеціальне використання водних біоресурсів у рибогосподарських водних об’єктах (їх частинах);100;9;[*];;;0;Державне агентство рибного господарства
159;Видача Акта обстеження місцевими державними адміністраціями спеціалізованих підприємств, їх приймальних пунктів та приймальних пунктів спеціалізованих металургійних переробних підприємств (брухт чорних або кольорових металів);100;21;;;;0;Обласна державна адміністрація
160;Отримання разової (індивідуальної) ліцензії на здійснення суб’єктами зовнішньоекономічної діяльності зовнішньоекономічних операцій;100;10;[*];;;0;Обласна державна адміністрація - департамент економічного розвитку
161;Запит на отримання публічної інформації;100;2;[*];;;0;Місцеві органи влади, Обласна державна адміністрація
162;Набуття громадянства за народженням;100;4;;;;0;Державна міграційна служба
163;Набуття громадянства за територіальним походженням;100;4;;;;0;Державна міграційна служба
164;Прийняття до громадянства ;100;4;;;;0;Державна міграційна служба
165;Поновлення у громадянстві ;100;4;;;;0;Державна міграційна служба
166;Набуття дітьми громадянства внаслідок усиновлення;100;4;;;;0;Державна міграційна служба
167;Набуття громадянства внаслідок встановлення над дитиною опіки чи піклування, влаштування дитини в дитячий заклад чи заклад охорони здоров’я, у дитячий будинок сімейного типу чи прийомну сім’ю або передачі на виховання в сім’ю патронатного вихователя;100;4;;;;0;Державна міграційна служба
168;Набуття громадянства особою, визнаною судом недієздатною, внаслідок встановлення над нею опіки громадянина ;100;4;;;;0;Державна міграційна служба
169;Набуття громадянства дитиною у зв’язку з перебуванням у громадянстві її батьків чи одного з них;100;4;;;;0;Державна міграційна служба
170;Набуття громадянства внаслідок визнання батьківства чи материнства або встановлення факту батьківства чи материнства;100;4;;;;0;Державна міграційна служба
171;Оформлення та видача довідки про реєстрацію особи громадянином ;100;4;;;;0;Державна міграційна служба
172;Видача тимчасового посвідчення громадянина ;100;4;;;;0;Державна міграційна служба
173;Обмін паспорта громадянина в разі зміни (переміни) прізвища, імені або по батькові;7;4;[*];;;0;Державна міграційна служба
174;Обмін паспорта громадянина у зв’язку із встановленням розбіжностей у записах;100;4;;;;0;Державна міграційна служба
175;Обмін паспорта громадянина у разі непридатності для користування;100;4;[*];;;0;Державна міграційна служба
176;Видача/заміна паспорта громадянина для виїзду за кордон;1;4;[*];;;0;Державна міграційна служба
177;Видача паспорта громадянина для виїзду за кордон для дитини;2;4;[*];;;0;Державна міграційна служба
178;_Оформлення паспорта громадянина України особам, які досягли 16-річного віку у формі ID картки;6;4;[*];;;0;Державна міграційна служба
179;Оформлення паспорта громадянина для виїзду за кордон замість втраченого або викраденого;100;4;;;;0;Державна міграційна служба
180;_Оформлення другого паспорта громадянина для виїзду за кордон;100;2;;;;0;Державна міграційна служба
181;Надання дозволу на виїзд на постійне місце проживання за кордоном;100;4;;;;0;Державна міграційна служба
184;Реєстрація місця проживання дитини до чотирнадцяти років;5;4;[*];;;0;Органи місцевого самоврядування
185;Зняття з реєстрації місця проживання дитини до чотирнадцяти років;6;4;[*];;;0;Органи місцевого самоврядування
186;Видача посвідчення особи без громадянства для виїзду за кордон;100;4;;;;0;Державна міграційна служба
