nID;sName;nID_ServiceData;nID_SubjectOrganDepartment;sID_BP
43;ДМС, ДнДз, пр. Перемоги, 63;497;30;dnepr_dms-89Dn
44;ДМС, ДнДз, вул. Комунарна, 10а;497;31;dnepr_dms-89Dn
45;ЦНАП, Вольногорск;506;32;dnepr_dms-89Vln
46;ДМС, Першотравенськ, вул. Комсомольська, 55;63;53;dnepr_dms_passport
47;ДМС, смт. Солоне, вул. Строменко, 1;63;54;dnepr_dms_passport
48;ДМС, смт. Широке, вул. Леніна, 49а;63;55;dnepr_dms_passport
49;ДМС, смт. Царичанка, вул. Нагорна, 9;63;56;dnepr_dms_passport
50;ДМС, Кривой Рог, пр. Металургів, 16;63;57;dnepr_dms_passport
51;ДМС, Кривой Рог, вул. Бородича, 3;63;58;dnepr_dms_passport
52;ДМС, Кривой Рог, вул. Шурупова, 7;63;59;dnepr_dms_passport
53;ДМС, Кривой Рог, вул. Мелешкіна, 47к;63;60;dnepr_dms_passport
54;ДМС, Днепр, вул. Плеханова, 34;448;25;dnepr_dms-205
55;ДМС, Днепр, вул. Кожем’яки, 17;496;24;dnepr_dms-257
56;ДМС, Днепр, вул. Шевченко, 7;448;14;dnepr_dms-205
57;ДМС, Днепр, вул. Плеханова, 34;468;26;dnepr_dms-227
58;ДМС, Днепр, вул. Робоча, 22а;496;26;dnepr_dms-205
59;ЦНАП, Новопсковская РДА;175;46;dnepr_dms-280
60;ЦНАП, Богодухівської РДА;921;44;dnepr_dms-89
61;ЦНАП, Балаклійської РДА;931;45;dnepr_dms-89
62;ЦНАП, Первомайский;161;41;dnepr_dms-89
63;ЦНАП, м. Ромни;951;47;dnepr_dms-89
64;ЦНАП, Чортківської РДА;941;48;dnepr_dms-89
65;ЦНАП, м. Жовті Води;968;49;dnepr_dms-89
66;ДМС, Днепр, пр. Ильича, 3;518;13;dnepr_dms-272
67;ДМС, Днепр, пр. Ильича, 3;519;13;dnepr_dms-272kr
68;ЦНАП, Тернопольский район;636;35;dnepr_dms-89
69;ЦНАП, Комінтернівский район;640;36;dnepr_dms-89
70;ЦНАП, Теплицький район;635;37;dnepr_dms-89
71;ЦНАП, Житомир;639;38;dnepr_dms-89
72;ЦНАП, Кременчук;638;39;dnepr_dms-89
73;ЦНАП, Вишгород;687;40;dnepr_dms-89
74;ДМС, Червоноград;725;42;dnepr_dms-89
75;ЦНАП Кобеляки;788;43;dnepr_dms-89
76;смт. Лисянка, пл. Миру, 27;496;62;dnepr_dms-257
77;МВК, Новопсков, вул. Гагарина, 63;1117;63;Lug_novopskov_458
78;МВК, м. Жовті Води, бульв. Свободи, 33;645;64;scadovsk_mvk-302
