nID;sID_BP;sID_UserTask;sCondition;soData;sPatternFile;nID_EscalationRuleFunction
27;common_mreo_12;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

28;common_mreo_13;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
29;common_mreo_13;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
30;common_mreo_13;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

31;common_mreo_2;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
32;common_mreo_2;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
33;common_mreo_2;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

34;common_mreo_4;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
35;common_mreo_4;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
36;common_mreo_4;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

37;common_mreo_6;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
38;common_mreo_6;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
39;common_mreo_6;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

40;common_mreo_7;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
41;common_mreo_7;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
42;common_mreo_7;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

43;common_mreo_8;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
44;common_mreo_8;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
45;common_mreo_8;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

46;common_mreo_9;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
47;common_mreo_9;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
48;common_mreo_9;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1};escalation/escalation_template.html;3

49;common_mvd_1;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
50;common_mvd_1;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
51;common_mvd_1;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3

52;dndz_cnap_186;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
53;dndz_cnap_186;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
54;dndz_cnap_186;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:30, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
55;dndz_cnap_186;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:30, asRecipientMail:['']};escalation/escalation_template.html;1
56;dndz_cnap_186;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
57;dndz_cnap_186;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:30};escalation/escalation_template.html;3

58;dndz_cnap_189;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['akylish88@gmail.com']};escalation/escalation_template.html;1
59;dndz_cnap_189;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
60;dndz_cnap_189;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:35, asRecipientMail:['akylish88@gmail.com']};escalation/escalation_template.html;1
61;dndz_cnap_189;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:35, asRecipientMail:['']};escalation/escalation_template.html;1
62;dndz_cnap_189;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
63;dndz_cnap_189;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:35};escalation/escalation_template.html;3

64;dndz_cnap_190;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
65;dndz_cnap_190;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
66;dndz_cnap_190;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:15, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
67;dndz_cnap_190;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:17, asRecipientMail:['']};escalation/escalation_template.html;1
68;dndz_cnap_190;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
69;dndz_cnap_190;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:15};escalation/escalation_template.html;3

70;dndz_cnap_192;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['msvidran@gmail.com']};escalation/escalation_template.html;1
71;dndz_cnap_192;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
72;dndz_cnap_192;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:12, asRecipientMail:['msvidran@gmail.com']};escalation/escalation_template.html;1
73;dndz_cnap_192;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:12, asRecipientMail:['']};escalation/escalation_template.html;1
74;dndz_cnap_192;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
75;dndz_cnap_192;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:12};escalation/escalation_template.html;3

76;dndz_cnap_194;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['msvidran@gmail.com']};escalation/escalation_template.html;1
77;dndz_cnap_194;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
78;dndz_cnap_194;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:41, asRecipientMail:['msvidran@gmail.com']};escalation/escalation_template.html;1
79;dndz_cnap_194;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:41, asRecipientMail:['']};escalation/escalation_template.html;1
80;dndz_cnap_194;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
81;dndz_cnap_194;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:41};escalation/escalation_template.html;3

82;dndz_cnap_196;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
83;dndz_cnap_196;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:3, asRecipientMail:['']};escalation/escalation_template.html;1
84;dndz_cnap_196;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:31, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
85;dndz_cnap_196;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:31, asRecipientMail:['']};escalation/escalation_template.html;1
86;dndz_cnap_196;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:-1};escalation/escalation_template.html;3
87;dndz_cnap_196;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:-1};escalation/escalation_template.html;3

88;dndz_cnap_200;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['msvidran@gmail.com']};escalation/escalation_template.html;1
89;dndz_cnap_200;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
90;dndz_cnap_200;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:30, asRecipientMail:['msvidran@gmail.com']};escalation/escalation_template.html;1
91;dndz_cnap_200;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:30, asRecipientMail:['']};escalation/escalation_template.html;1
92;dndz_cnap_200;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
93;dndz_cnap_200;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:30};escalation/escalation_template.html;3

94;dndz_cnap_201;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
95;dndz_cnap_201;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:3, asRecipientMail:['']};escalation/escalation_template.html;1
96;dndz_cnap_201;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:30, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
97;dndz_cnap_201;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:30, asRecipientMail:['']};escalation/escalation_template.html;1
98;dndz_cnap_201;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
99;dndz_cnap_201;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:30};escalation/escalation_template.html;3

100;dnepr_cnap_184_annulluvannya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
101;dnepr_cnap_184_annulluvannya;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
102;dnepr_cnap_184_annulluvannya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
103;dnepr_cnap_184_annulluvannya;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:26, asRecipientMail:['']};escalation/escalation_template.html;1
104;dnepr_cnap_184_annulluvannya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
105;dnepr_cnap_184_annulluvannya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26};escalation/escalation_template.html;3

106;dnepr_cnap_184_otrimannya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
107;dnepr_cnap_184_otrimannya;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
108;dnepr_cnap_184_otrimannya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
109;dnepr_cnap_184_otrimannya;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:26, asRecipientMail:['']};escalation/escalation_template.html;1
110;dnepr_cnap_184_otrimannya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
111;dnepr_cnap_184_otrimannya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26};escalation/escalation_template.html;3

112;dnepr_cnap_184_pereoformlennya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
113;dnepr_cnap_184_pereoformlennya;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
114;dnepr_cnap_184_pereoformlennya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
115;dnepr_cnap_184_pereoformlennya;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:26, asRecipientMail:['']};escalation/escalation_template.html;1
116;dnepr_cnap_184_pereoformlennya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
117;dnepr_cnap_184_pereoformlennya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26};escalation/escalation_template.html;3

118;dnepr_cnap_184_podovzennya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
119;dnepr_cnap_184_podovzennya;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
120;dnepr_cnap_184_podovzennya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
121;dnepr_cnap_184_podovzennya;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:26, asRecipientMail:['']};escalation/escalation_template.html;1
122;dnepr_cnap_184_podovzennya;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
123;dnepr_cnap_184_podovzennya;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:26};escalation/escalation_template.html;3

124;dnepr_cnap_211;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
125;dnepr_cnap_211;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:3, asRecipientMail:['']};escalation/escalation_template.html;1
126;dnepr_cnap_211;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:14, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
127;dnepr_cnap_211;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:14, asRecipientMail:['']};escalation/escalation_template.html;1
128;dnepr_cnap_211;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
129;dnepr_cnap_211;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:14};escalation/escalation_template.html;3

130;dnepr_cnap_213;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
131;dnepr_cnap_213;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
132;dnepr_cnap_213;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
133;dnepr_cnap_213;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
134;dnepr_cnap_213;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
135;dnepr_cnap_213;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7};escalation/escalation_template.html;3

136;dnepr_cnap_214;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
137;dnepr_cnap_214;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
138;dnepr_cnap_214;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
139;dnepr_cnap_214;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:5, asRecipientMail:['']};escalation/escalation_template.html;1
140;dnepr_cnap_214;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
141;dnepr_cnap_214;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3

142;dnepr_cnap_215;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
143;dnepr_cnap_215;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
144;dnepr_cnap_215;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
145;dnepr_cnap_215;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:5, asRecipientMail:['']};escalation/escalation_template.html;1
146;dnepr_cnap_215;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
147;dnepr_cnap_215;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3

148;dnepr_cnap_217;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
149;dnepr_cnap_217;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
150;dnepr_cnap_217;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
151;dnepr_cnap_217;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:5, asRecipientMail:['']};escalation/escalation_template.html;1
152;dnepr_cnap_217;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
153;dnepr_cnap_217;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3

154;dnepr_cnap_218;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
155;dnepr_cnap_218;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
156;dnepr_cnap_218;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
157;dnepr_cnap_218;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:5, asRecipientMail:['']};escalation/escalation_template.html;1
158;dnepr_cnap_218;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
159;dnepr_cnap_218;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3

160;dnepr_cnap_219;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
161;dnepr_cnap_219;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
162;dnepr_cnap_219;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:10, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
163;dnepr_cnap_219;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:10, asRecipientMail:['']};escalation/escalation_template.html;1
164;dnepr_cnap_219;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
165;dnepr_cnap_219;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:10};escalation/escalation_template.html;3

166;dnepr_cnap_224;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
167;dnepr_cnap_224;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
168;dnepr_cnap_224;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
169;dnepr_cnap_224;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
170;dnepr_cnap_224;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
171;dnepr_cnap_224;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7};escalation/escalation_template.html;3

172;dnepr_cnap_225;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
173;dnepr_cnap_225;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:3, asRecipientMail:['']};escalation/escalation_template.html;1
174;dnepr_cnap_225;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:4, asRecipientMail:['Akylish88@gmail.com']};escalation/escalation_template.html;1
175;dnepr_cnap_225;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
176;dnepr_cnap_225;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
177;dnepr_cnap_225;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:4};escalation/escalation_template.html;3

178;dnepr_cnap_228;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
179;dnepr_cnap_228;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
180;dnepr_cnap_228;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
181;dnepr_cnap_228;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
182;dnepr_cnap_228;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
183;dnepr_cnap_228;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7};escalation/escalation_template.html;3

184;dnepr_cnap_229;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
185;dnepr_cnap_229;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
186;dnepr_cnap_229;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
187;dnepr_cnap_229;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
188;dnepr_cnap_229;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
189;dnepr_cnap_229;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7};escalation/escalation_template.html;3

190;dnepr_cnap_230;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
191;dnepr_cnap_230;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:4, asRecipientMail:['']};escalation/escalation_template.html;1
192;dnepr_cnap_230;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
193;dnepr_cnap_230;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
194;dnepr_cnap_230;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
195;dnepr_cnap_230;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:7;escalation/escalation_template.html;3

