sID;PaymentData1;PaymentData2;PaymentData3;Sum11;Sum12;Sum21;Sum22;Sum23;Sum24
11;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1213, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1213, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
12;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1214, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1214, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
13;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1215, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1215, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
14;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1217, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1217, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
15;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1244, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1244, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
16;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1240, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1240, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
17;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1235, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1235, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
18;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1238, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1238, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
19;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1258, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1258, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
20;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1262, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1262, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
21;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1261, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1261, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
22;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700026<br/ >ЄДРПОУ: 38032222<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1225, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1225, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
23;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700026<br/ >ЄДРПОУ: 38032222<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1226, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1226, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
24;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700026<br/ >ЄДРПОУ: 38032222<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1227, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1227, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
25;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700026<br/ >ЄДРПОУ: 38032222<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1229, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1229, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
26;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700026<br/ >ЄДРПОУ: 38032222<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1229, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1229, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн

