sID;Name;Address;WorkTime;phone;mail
13;Управління праці та соціального захисту населення Жовтневого району м.Кривий Ріг;м.Кривий Ріг, вул. Ватутіна, 37б;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 95-94-52, (056) 406-00-80;
14;Управління праці та соціального захисту населення Інгулецького району м.Кривий Ріг;м.Кривий Ріг, пр-т Південний, 1<br />м.Кривий Ріг, пр-т Перемоги, 45-179;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 403-83-89, (0564) 22-31-45;
15;Управління праці та соціального захисту населення Саксаганського району м.Кривий Ріг;м.Кривий Ріг, вул. С.Перовської, 16а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 64-43-83;
16;Управління праці та соціального захисту населення Тернівського району м.Кривий Ріг;м.Кривий Ріг, вул. Ухтомського, 23;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 38-00-55, (0564) 38-02-60, (0564) 38-45-82;
17;Управління праці та соціального захисту населення Центрально-Міського району м.Кривий Ріг;м.Кривий Ріг, вул. Леніна, 27;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 90-08-26;
18;Управління праці та соціального захисту населення Довгинцівського району м.Кривий Ріг;м.Кривий Ріг, вул. Дніпропетровське шосе, буд.16;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 71-61-35;
19;Управління праці та соціального захисту населення департаменту соціально-гуманітарної політики Вільногірської міської ради;м.Вільногірськ вул. Жовтнева, 29;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05653) 5-09-15, (05653) 3-56-99;
20;Управління праці та соціального захисту населення Жовтоводської міської ради;м.Жовті Води, вул. Першотравнева, 24;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05652) 5-60-25;
21;Управління праці та соціального захисту населення Марганецької міської ради;м.Марганець, вул. Радянська, 66;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05665) 2-15-67;
22;Управління праці та соціального захисту населення Нікопольської міської ради;м.Нікополь, вул. Кріпака, 2;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05662) 5-14-83;
23;Управління праці та соціального захисту населення м.Новомосковська;м.Новомосковськ, вул. Горького, 2а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0569) 31-49-72;
24;Управління праці та соціального захисту населення Павлоградської міської ради;м.Павлоград, вул. К.Маркса, 47;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05632) 6-25-69, (05632) 6-28-57;
25;Управління праці та соціального захисту населення м.Першотравенськ;м.Першотравенськ, вул. Карла Маркса, 15а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05633) 7-23-04;
26;Управління праці та соціального захисту населення Орджонікідзевської міської ради;м.Орджонікідзе, вул. Горького 5;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0566) 76-64-48, (0566) 74-20-12;
27;Управління праці та соціального захисту населення Синельниківської міської ради;м.Синельникове, вул. Радянська, 36;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05663) 4-21-70;
28;Управління праці та соціального захисту населення Тернівської міської ради;м.Тернівка, вул. Лермонтова, 13а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05636) 7-10-95;
29;Управління праці та соціального захисту населення Апостолівської районної державної адміністрації;м.Апостолове, вул. Визволення, 36;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05656) 9-42-06;
30;Управління праці та соціального захисту населення Васильківської районної державної адміністрації;сел.Васильківка, пров. Парковий, 4;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05639) 9-90-99;
31;Управління праці та соціального захисту населення Верхньодніпровської районної державної адміністрації;м.Верхньодніпровськ, пл. Щербицького, 5;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05658) 6-06-42, (05658) 3-12-41;
32;Управління праці та соціального захисту населення Дніпропетровської районної державної адміністрації;с.Ювілейне, вул. Теплична, 5;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 753-64-51, (056) 753-62-00, (0562) 27-70-46;
33;Управління праці та соціального захисту населення Криворізької районної державної адміністрації;м.Кривий Ріг, вул. Чкалова 44-а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 90-83-69;
34;Управління праці та соціального захисту населення Криничанської районної державної адміністрації;смт.Кринички, вул. Центральна, 10;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05654) 9-20-37;
35;Управління праці та соціального захисту населення Магдалинівської районної державної адміністрації;смт.Магдалинівка, вул. Радянська, 64;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0569) 12-84-86, (0569) 12-15-92;
36;Управління праці та соціального захисту населення Межівської районної державної адміністрації;смт.Межова, вул. Карла Маркса, 7;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05630) 60-4-21;
37;Управління праці та соціального захисту населення Нікопольської районної державної адміністрації;м. Нікополь, вул. Дідика, 23;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05662) 5-12-84, (05662) 5-05-93;
38;Управління праці та соціального захисту населення Новомосковської районної державної адміністрації;м.Новомосковськ, вул. Радянська, 12;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05693) 7-10-50;
39;Управління праці та соціального захисту населення Павлоградської районної державної адміністрації;м.Павлоград, вул. Радянська, 53а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05632) 6-00-57;
40;Управління праці та соціального захисту населення Петропавлівської районної державної адміністрації;смт.Петропавлівка, вул. Радянська, 53;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05631) 3-15-41;
41;Управління праці та соціального захисту населення Петриківської районної державної адміністрації;смт.Петриківка, вул. Леніна, 38;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05634) 2-12-31, (05634) 2-12-51;
42;Управління праці та соціального захисту населення Покровської районної державної адміністрації;смт.Покровське, вул. 40 Років Жовтня, 13А;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05638) 2-19-22;
43;Управління праці та соціального захисту населення П'ятихатської районної державної адміністрації;м.П'ятихатки, вул.Мамона, 122;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05651) 3-09-67;
44;Управління праці та соціального захисту населення Синельниківської районної державної адміністрації;м.Синельникове, вул. Енгельса, 3а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05663) 4-23-04;
45;Управління праці та соціального захисту населення Солонянської районної державної адміністрації;смт.Солоне, вул. Гагаріна, 7<br />вул. Строменко, 5б;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05669) 2-13-96;
46;Управління праці та соціального захисту населення Софіївської районної державної адміністрації;смт.Софіївка, вул. Жовтнева, 58;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05650) 2-86-01;
47;Управління праці та соціального захисту населення Томаківської районної державної адміністрації;смт.Томаківка, вул. Леніна, 46;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05668) 2-22-29;
48;Управління праці та соціального захисту населення Царичанської районної державної адміністрації;смт. Царичанка, вул. Театральна,14а;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05690) 3-29-56;
49;Управління праці та соціального захисту населення Широківської районної державної адміністрації;смт. Широке, вул. Леніна, 99;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05657) 2-20-39;
50;Управління праці та соціального захисту населення Юр’ївської районної державної адміністрації;смт. Юр’ївка, вул. Леніна, 114;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05635) 5-15-61;
51;Департамент соціальної політики Вінницької облдержадміністрації;м. Вінниця  вул. Соборна 89, 21100;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0432)56-25-70;gupszn@vn.ua
52;Управління соціальної політики Барської райдержадміністрації; м. Бар, пл. Пам’яті, 17, 23000;Режим роботи з 8.00 до 17.00;Телефон для довідок: ( 04341)2-41-90;bar_upszn@ukr.net, 0513usp@ukr.net
53;Управління праці та соціального захисту населення Бершадської райдержадміністрації;м. Бершадь, вул. Миколаєнка, 25 24400 ;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04352)2-18-63;bershadupszn@ukr.net
54;Управління праці та соціального захисту населення Вінницької райдержадміністрації;21100 м. Вінниця, вул. Грибоєдова,10/А;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0432)61-39-30;upsznvinrda@ukr.net
55;Управління соціального захисту населення Гайсинської райдержадміністрації;23700 м. Гайсин, вул 1 Травня, 40;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04334)2-02-48;diskaveri7777@gmail.com
56;Управління соціального захисту населення Жмеринської райдержадміністрації;23100, м.Жмеринка, вул. Центральна,7;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04332)2-12-58, 2-10-89;0514gmerinka.rupszn@ukr.net
57;Управління праці та соціального захисту населення Іллінецької райдержадміністрації;м. Іллінці, вул. Леніна, 25;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04345) 2-14-85;0519upszn@ukr.net
58;Управління праці та соціального захисту населення Калинівської райдержадміністрації;22400, м.Калинівка, вул. Дзержинського, 24;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04333)2-12-39, 4-08-39;kalinsoc@ukr.net
59;Управління соціального захисту населення Козятинської райдержадміністрації;22100, Вінницька обл, м. Козятин, вул. В.Стуса, 25;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04342)2-01-86;0501uszn@ukr.net
60;Управління соціального захисту населення Крижопільської райдержадміністрації;24600,смт. Крижопіль, вул. Піонерська, 30;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04340)2-68-56, 2-68-57;kruzh_upszn@ukrpost.ua, kruzh.uszn@gmail.com
61;Управління праці та соціального захисту населення Липовецької райдержадміністрації;22500, м. Липовець, вул. Героїв Майдану, 22 ;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04358)2-10-87;lupszn@ukr.net
62;Управління праці та соціального захисту населення Літинської райдержадміністрації; 22300, смт. Літин, вул. Леніна, 5;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04347)2-15-98;0507upszn@ukr.net
63;Управління соціального захисту населення Могилів-Подільської райдержадміністрації;24000, м. Могилів Подільський, вул. Володимирська, 18;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04337) 6-47-47, 6-63-62;mogpodrupszn@ukr.net
64;Управління праці та соціального захисту населення Мурованокуриловецької райдержадміністрації;23400, смт. Муровані Курилівці, вул. Леніна, 45;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04356)2-10-07;mkupszn@gmail.com
65;Управління соціального захисту населення, сім’ї та молоді Немирівської райдержадміністрації;22800, м. Немирів, вул. Луначарського 19;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04331) 2-27-84, 2-19-28, 2-08-89;Nem_upszn@ukr.net
66;Управління праці та соціального захисту населення Оратівської райдержадміністрації;22600, смт Оратів, вул. Героїв Майдану 82;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04330) 2-17-43, 2-92-05;or_soc_zax@ukrpost.ua
67;Управління соціального захисту населення Піщанської райдержадміністрації;24700, смт. Піщанка, вул. Леніна , 43 ;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04349)2-19-97, 2-19-62;uptaszn@ukrpost.ua
68;Управління соціального захисту населення Погребищенської райдержадміністрації;22200, м. Погребище, вул. Б. Хмельницького, 81;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04346)2-13-58, 2-17-58;pogrypzn@ukr.net
69;Управління праці та соціального захисту населення Теплицької райдержадміністрації;23800, смт. Теплик, вул. Незалежності, 7;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04353)2-14-36, 2-13-08;tepl_ups@ukrpost.ua
70;Управління праці та соціального захисту населення Тиврівської райдержадміністрації;23300, смт Тиврів, вул. Першотравнева, 6;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04355) 2-12-56, (04355) 2-11-64;0505tuvrovupszn@ukr.net
71;Управління праці та соціального захисту населення Томашпільської райдержадміністрації;24200, смт.Томашпіль, пл. Ленінського комсомолу, 2;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04348)2-10-87, 2-23-04;upszn_tm@ukrpost.ua
72;Управління праці та соціального захисту населення Тростянецької райдержадміністрації;24300, смт. Тростянець, вул. Леніна 103-А ;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04343)2-27-64, 2-24-69;sovbez_ tr@ukr.net
73;Управління соціального захисту населення Тульчинської райдержадміністрації;23600, м. Тульчин, вул. Леніна, 1;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04335)2-22-45, 2-34-36;tulchin_upszn@ukr.net
74;Управління праці та соціального захисту населення Хмільницької райдержадміністрації;22000, м.Хмільник, вул. Столярчука, 17;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04338)2-21-86;soczahist_hm@ukr.net
75;Управління праці та соціального захисту населення Чечельницької райдержадміністрації;24800, смт.Чечельник, вул.50-річчя СРСР, 2;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04351)2-25-36, 2-13-60;chechupszn@gmail.com
76;Управління праці та соціального захисту населення Чернівецької райдержадміністрації;24100, смт.Чернівці, вул. Леніна, 101;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04357)2-13-59;chern0534@ukr.net
77;Управління соціального захисту населення Шаргородської райдержадміністрації;23500, м.Шаргород, вул. Героів Майдану, 224;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04344)2-11-60, 2-12-79;labour@ukrpost.ua
78;Управління соціального захисту населення Ямпільської райдержадміністрації; 24500, м. Ямпіль, вул. Жовтнева, 88;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04336)2-10-44;0526yampupszn@ukr.net
79;Управління праці та соціального захисту населення Жмеринської міської ради;23100, м.Жмеринка, вул.Доватора, 49;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04332)2-14-49, 2-28-87;mupszn.zhmer@ukr.net
80;Управління праці та соціального захисту населення Козятинської міської ради ;22100, м. Козятин, вул. Вінниченка, 56;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04342) 2-25-00,  2-45-53;socinform@ukrpost.ua
81;Управління праці та соціального захисту населення Ладижинської міської ради;24321, м.Ладижин, вул. Процишина, 91 ;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04343)6-45-29, 6-92-90;ladiginsoczahst@ukr.net
82;Управління праці та соціального захисту населення Могилів-Подільської міської ради;24000, м.Могилів-Подільський, вул. Ринкова, 32;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04337) 6-52-71, 6-64-02, 6-65-45, 6-51-63;upsznmpmr@ukr.net
83;Управління праці та соціального захисту населення Хмільницької міської ради;22000, м. Хмільник, 2-ий провулок Пушкіна, 8;Режим роботи з 8.00 до 17.00;Телефон для довідок: (04338)2-33-72, 2-56-56;socprotect_hm@ukr.net
84;Департамент праці і соціального захисту населення Вінницької міської ради;21050, м. Вінниця, вул. Соборна, 50;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0432)50-43-50, 53-10-82;gupszn@vmr.gov.ua
